id,name,categories,city,lat,lng,distance,place_names,latitude,longitude,reviews_count
4bc774a593bdeee1216737ae,Cama Hotel Ahmedabad,Hotel,Ahmedabad,23.03194154914317,72.57679159578089,706,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,5
4ef82438469012b8c18c3124,Gopi Dining Hall,Indian Restaurant,Ahmedabad,23.021237660093423,72.57139965150587,743,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,3
4bd1cef05e0cce729705a284,Le Meridien Ahmedabad,Hotel,Gujarat,23.02905099498985,72.57737849501852,387,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,2
4e4e7d088877402b06b5760b,Epicurean Alley,Indian Restaurant,Ahmedabad,23.023566248194438,72.56804959062688,934,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,5
4c24c9edf3859c74e0066588,Jungle Bhookh,Indian Restaurant,Ahmedabad,23.023702784060074,72.5677466127622,961,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,7
4bd1c0bf5e0cce723ff0a184,Sarovar Portico Hotel Ahmedabad,Hotel,Ahmedabad,23.033465179922775,72.57643214889592,876,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,7
5070a80fe4b0559b4d692dfd,S K Maska Bun,Snack Place,Ahmedabad,23.021017944920704,72.57050438084809,830,"Gheekanta Road,Lal Darwaja,Manek Chowk,District Court (Ahmedabad),Gandhi Road (Ahmedabad),Raikhad,Ahmedabad G.P.O.,Raipur (Ahmedabad),Jamalpur (Ahmedabad),Khadia,Dariapur (Ahmedabad),Khanpur (Ahmedabad),Municipal Corporation",23.0256,72.57690000000002,1
56279021498e5e4cb1106363,SUN MEDIA TECHNOLOGIES,IT Services,Ahmedabad,23.032880100673733,72.61834144592285,52,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
4f4f9f65e4b066791b150a56,Amber cinema,Movie Theater,Ahmedabad,23.0346,72.62,242,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
5c38055542d8c2002cec981d,Axis Bank ATM,ATM,Ahmedabad,23.03632,72.61967,372,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
5736d3fb498ec5a36a1074fa,AC Wale,Electronics Store,Ahmedabad,23.030474,72.61411,515,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
4f12fbcce4b0865b0925fd95,City Gold,Multiplex,Ahmedabad,23.03741273233689,72.61506776957923,553,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,1
54d3968d498e4e44a78af353,KD Bhajipau,Indian Restaurant,Ahmedabad,23.034002610357987,72.62588980297122,801,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
520c22c911d296e556f9f3d8,Kutbi Restaurant,Breakfast Spot,Ahmedabad,23.03561782836914,72.6095962524414,908,"Revdibazar H.O,Railwaypura,N C Market",23.0333,72.6181,0
56279021498e5e4cb1106363,SUN MEDIA TECHNOLOGIES,IT Services,Ahmedabad,23.032880100673733,72.61834144592285,52,"Delhi Gate (Ahmedabad),Cantonment,Girdharnagar,Sub Foreign,Shahpur (Ahmedabad),Shahibag,Madhupura Market,Dudheshwar Tavdipura",23.0333,72.61810000000001,0
4f4f9f65e4b066791b150a56,Amber cinema,Movie Theater,Ahmedabad,23.0346,72.62,242,"Delhi Gate (Ahmedabad),Cantonment,Girdharnagar,Sub Foreign,Shahpur (Ahmedabad),Shahibag,Madhupura Market,Dudheshwar Tavdipura",23.0333,72.61810000000001,0
